NGRAM,NCOUNT,LEN,WCOUNT,MASKED,IMPORTANCE,REDUNDANT
ართული>,23,7,245974,არtული>,5657402,False
ქართული,9,7,245522,kარtული,2209698,False
ოგიური>,19,7,92764,ოგიური>,1762516,False
ლოგიური,18,7,92745,ლოგიური,1669410,False
ოლოგიურ,17,7,92805,ოლოგიურ,1577685,False
<ქართულ,8,7,191090,<kარtულ,1528720,False
-ქართულ,7,7,214774,-kარtულ,1503418,False
ქართულ-,6,7,160338,kარtულ-,962028,False
<ტერმინ,6,7,153467,<tერმინ,920802,False
ტიკური>,26,7,31906,tიkური>,829556,False
ოლოგია>,22,7,31465,ოლოგია>,692230,False
ნიკური>,11,7,61810,ნიkური>,679910,False
ლექსიკო,5,7,123394,ლეkსიkო,616970,False
ექსიკონ,5,7,123357,ეkსიkონ,616785,False
მეტყველ,13,7,31182,მეtყველ,405366,False
ცხოვრებ,12,7,31227,cხოვრებ,374724,False
ეოლოგიუ,6,7,61522,ეოლოგიუ,369132,False
განმარტ,9,7,30892,განმარt,278028,False
<განმარ,8,7,30883,<განმარ,247064,False
გრაფიულ,7,7,31007,გრაpიულ,217049,False
ოგრაფიუ,7,7,30990,ოგრაpიუ,216930,False
აფიული>,7,7,30971,აpიული>,216797,False
რაფიული,7,7,30971,რაpიული,216797,False
<სიტყვა,6,7,31003,<სიtყვა,186018,False
<ინგლის,5,7,30887,<ინგლის,154435,False
ანმარტე,5,7,30801,ანმარtე,154005,False
ნმარტებ,5,7,30799,ნმარtებ,153995,False
<ელექტრ,32,7,2305,<ელეktრ,73760,False
ელექტრო,29,7,2242,ელეktრო,65018,False
მეცნიერ,6,7,7032,მეcნიერ,42192,False
იზაცია>,22,7,1282,იზაcია>,28204,False
<გადასა,21,7,985,<გადასა,20685,False
<გამოსა,22,7,787,<გამოსა,17314,False
<საუკუნ,5,7,3092,<საუkუნ,15460,False
თავისუფ,14,7,786,tავისუp,11004,False
თებული>,16,7,658,tებული>,10528,False
ომეტრი>,12,7,812,ომეtრი>,9744,False
ნაწილებ,15,7,581,ნაcილებ,8715,False
ტებული>,14,7,607,tებული>,8498,True
გებული>,15,7,535,გებული>,8025,False
სამართლ,15,7,510,სამარtლ,7650,False
ასწორებ,12,7,636,ასcორებ,7632,False
ავისუფლ,12,7,555,ავისუpლ,6660,False
ანგარიშ,12,7,553,ანგარიშ,6636,False
ინააღმდ,14,7,472,ინააგმდ,6608,False
ააღმდეგ,14,7,471,ააგმდეგ,6594,False
ნააღმდე,14,7,471,ნააგმდე,6594,False
წინააღმ,14,7,468,cინააგმ,6552,False
კმაყოფი,14,7,467,kმაყოpი,6538,False
მაყოფილ,14,7,464,მაყოpილ,6496,False
<მიმართ,12,7,511,<მიმარt,6132,False
ლაპარაკ,10,7,602,ლაpარაk,6020,False
ყოფილებ,14,7,425,ყოpილებ,5950,False
ისფერი>,14,7,422,ისpერი>,5908,False
კავშირე,11,7,500,kავშირე,5500,False
ღებული>,11,7,493,გებული>,5423,True
ყოფილი>,12,7,445,ყოpილი>,5340,False
ოქმედებ,10,7,511,ოkმედებ,5110,False
მოქმედე,10,7,508,მოkმედე,5080,False
აციული>,12,7,404,აcიული>,4848,False
ანაწილე,12,7,403,ანაcილე,4836,False
