CONTRACTION,EXPANSION,SOURCE,LENGTH
ა. შ.,ასე შემდეგ,D,5
ა. წ.,ამა წლის,D,5
ა.ს.ს.რ.,ავტონომიური საბჭოთა სოციალისტური რესპუბლიკა,G,8
ა.შ.,ასე შემდეგ,D,4
ა.წ.,ამა წლის,D,4
აგვ.,აგვისტო,G,4
აგლომ.,აგლომერაცია,G,6
ად.,ადამიანი,G,3
ადამ./კმ²,ადამიანი კვადრატულ კილომეტრზე,G,9
ადმ.,ადმინისტრაციული,G,4
ავიაც.,ავიაცია,D,6
ავსტრალ.,ავსტრალიელ ტომთა ენები,D,8
ავტ.,ავტორი,D,4
ავღ.,ავღანური,D,4
აზერბ.,აზერბაიჯანული,D,6
ათ.,ათას,G,3
ათასწ.,ათასწლეული,G,6
აკად.,აკადემიკოსი,D,5
აკად. წ/კ,აკადემიის წევრ-კორესპონდენტი,D,9
ალგონ.,ალგონკინური,D,6
ამერ.,ამერიკელ ინდიელთა ენები,D,5
ანატ.,ანატომია,D,5
ანთროპ.,ანთროპოლოგია,D,7
აპრ.,აპრილი,G,4
არაბ.,არაბული,D,5
არამ.,არამეული,D,5
არს.,არსებითი სახელი,D,4
არქ.,არქიტექტორი,G,4
არქეოლ.,არქეოლოგია,D,7
არქიტ.,არქიტექტორი,G,6
ასსრ.,ავტონომიური საბჭოთა სოციალისტური რესპუბლიკა,G,5
სსრ.,საბჭოთა სოციალისტური რესპუბლიკა,G,4
ასტრ.,ასტრონომია,D,5
აფრ.,აფრიკაანსი (ენა),D,4
აფრიკ.,აფრიკული ენები,D,6
აქად.,აქადური,D,5
აღმ.,აღმოსავლეთ,G,4
აშშ.,ამერიკის შეერთებული შტატები,G,4
აცტეკ.,აცტეკური,D,6
ახ.,ახალი,D,3
ახ. წ.,ახალი წელთაღრიცხვით,G,6
ახ.წ.,ახალი წელთაღრიცხვით,G,5
ბ.-ნი,ბატონი,D,5
ბერბერ.,ბერბერული,D,7
ბერძ.,ძველი ბერძნული,D,5
ბიბლიოთ.,საბიბლიოთეკო,D,8
ბიოლ.,ბიოლოგია,D,5
ბოტან.,ბოტანიკა,D,6
ბრეტონ.,ბრეტონული,D,7
ბულგ.,ბულგარული,D,5
ბუხჰალტ.,ბუხჰალტერია,D,8
გ.,გარდაცვალება,G,2
გადატ.,გადატანითი (მნიშვნელობა),D,6
